Table with row headers in column A and column headers in rows 6 through 10,,,,,,,,,,,,,
Table 6. ,,,,,,,,,,,,,
"Percentage of People Without Health Insurance Coverage by State: 2013, 2016, and 2017",,,,,,,,,,,,,
"(Numbers in thousands. Civilian noninstitutionalized population.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www2.census.gov/programs-surveys/acs/tech_docs/accuracy/ACS_Accuracy_of_Data_2017.pdf) ",,,,,,,,,,,,,
,,,,,,,,,,,,,
State,Medicaid Expansion State?        Yes (Y) or No (N)1,2013 Uninsured,,2016 Uninsured,,2017 Uninsured,,Difference in Uninsured,,,,,
New Hampshire…………………..,^Y,10.7,0.5,5.9,0.4,5.8,0.4,-0.1,0.6,*-4.9,0.7,,
,,,,,,,,,,,,,
New Jersey…………………………..,Y,13.2,0.2,8.0,0.2,7.7,0.2,-0.2,0.3,*-5.5,0.3,,
New Mexico………………………….,Y,18.6,0.6,9.2,0.5,9.1,0.6,-0.1,0.8,*-9.5,0.9,,
New York………………………………,Y,10.7,0.2,6.1,0.1,5.7,0.1,*-0.4,0.2,*-5.0,0.2,,
North Carolina…………………….,N,15.6,0.3,10.4,0.2,10.7,0.2,0.3,0.3,*-5.0,0.4,,
North Dakota……………………….,Y,10.4,0.8,7.0,0.6,7.5,0.6,0.5,0.9,*-2.8,1.0,,
Ohio……………………………………….,Y,11.0,0.2,5.6,0.2,6.0,0.2,*0.3,0.2,*-5.1,0.3,,
Oklahoma……………………………,N,17.7,0.3,13.8,0.3,14.2,0.3,0.4,0.4,*-3.5,0.5,,
Oregon………………………………….,Y,14.7,0.4,6.2,0.2,6.8,0.3,*0.6,0.4,*-7.8,0.5,,
Pennsylvania………………………,^Y,9.7,0.2,5.6,0.2,5.5,0.2,-0.1,0.2,*-4.2,0.2,,
Rhode Island……………………….,Y,11.6,0.7,4.3,0.5,4.6,0.4,0.3,0.6,*-7.0,0.8,,
,,,,,,,,,,,,,
South Carolina……………………,N,15.8,0.4,10.0,0.3,11.0,0.3,*1.0,0.4,*-4.8,0.5,,
South Dakota………………………,N,11.3,0.7,8.7,0.5,9.1,0.6,0.3,0.8,*-2.2,0.9,,
Tennessee…………………………..,N,13.9,0.3,9.0,0.2,9.5,0.3,*0.5,0.4,*-4.4,0.4,,
Texas……………………………………..,N,22.1,0.2,16.6,0.2,17.3,0.2,*0.7,0.3,*-4.8,0.3,,
Utah………………………………………..,N,14.0,0.5,8.8,0.4,9.2,0.4,0.4,0.6,*-4.8,0.6,,
Vermont………………………………..,Y,7.2,0.6,3.7,0.4,4.6,0.4,*0.8,0.6,*-2.7,0.8,,
Virginia…………………………………..,N,12.3,0.3,8.7,0.3,8.8,0.3,0.1,0.4,*-3.5,0.4,,
Washington………………………….,Y,14.0,0.3,6.0,0.2,6.1,0.2,0.2,0.3,*-7.9,0.4,,
West Virginia……………………….,Y,14.0,0.5,5.3,0.3,6.1,0.4,*0.8,0.5,*-7.9,0.7,,
Wisconsin…………………………….,N,9.1,0.2,5.3,0.2,5.4,0.2,0.1,0.3,*-3.7,0.3,,
Wyoming……………………………….,N,13.4,0.9,11.5,1.0,12.3,1.2,0.7,1.6,*-1.2,1.5,,
,,,,,,,,,,,,,
* Statistically different from zero at the 90 percent confidence level.,,,,,,,,,,,,,
"^ Expanded Medicaid eligibility after January 1, 2014, and on or before January 1, 2015.",,,,,,,,,,,,,
"+ Expanded Medicaid eligibility after January 1, 2015, and on or before January 1, 2016.",,,,,,,,,,,,,
"# Expanded Medicaid eligibility after January 1, 2016, and on or before January 1, 2017.",,,,,,,,,,,,,
X Not applicable.,,,,,,,,,,,,,
Z Represents or rounds to zero.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1Medicaid expansion status as of January 1, 2017.  For more information, see <www.medicaid.gov/state-overviews/index.html>.",,,,,,,,,,,,,
"2Data are based on a sample and are subject to sampling variability. A margin of error is a measure of an estimate’s variability. The larger the margin of error is in relation to the size of the estimate, the less reliable the estimate. This number, when added to and subtracted from the estimate, forms the 90 percent confidence interval.",,,,,,,,,,,,,
"Note: Differences are calculated with unrounded numbers, which may produce different results from using the rounded values in the table. ",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Source:  U.S. Census Bureau, 2013, 2016, and 2017 1-Year American Community Surveys.",,,,,,,,,,,,,
,,,,,,,,,,,,,
